word,n,sentiment,new_df_select_category1
孤單,18,negative,a
空,18,negative,n
故意,18,negative,d
背叛,18,negative,v
計較,18,negative,v
負責,18,positive,v
深刻,18,positive,d
理想,18,positive,n
無力,18,negative,n
焦慮,18,negative,a
煩惱,18,negative,a
敷衍,18,negative,v
瞭解,18,positive,v
爆發,18,negative,v
一點點,17,negative,m
心靈,17,positive,n
他媽的,17,negative,l
充實,17,positive,ad
生日快樂,17,positive,l
低潮,17,negative,n
冷漠,17,negative,n
事實上,17,positive,l
很棒,17,positive,a
拜託,17,positive,nrt
拜託,17,negative,nrt
活,17,positive,vn
負擔,17,negative,v
音樂,17,positive,n
振作,17,positive,vn
深,17,positive,a
陷入,17,negative,v
期望,17,positive,v
短暫,17,negative,a
盡力,17,positive,d
精神,17,positive,n
說服,17,positive,v
熱情,17,positive,n
驚訝,17,negative,a
不在意,16,negative,i
不對勁,16,negative,l
不願,16,negative,x
公開,16,positive,ad
出軌,16,negative,v
可憐,16,negative,v
安靜,16,positive,nr
自然,16,positive,d
低,16,negative,a
改進,16,positive,v
狂,16,negative,zg
放心,16,positive,v
狠心,16,negative,d
浪漫,16,positive,a
強烈,16,negative,a
掛,16,negative,v
痛哭,16,negative,v
算了,16,negative,v
認同,16,positive,v
慶祝,16,positive,v
學會,16,positive,n
壓抑,16,negative,v
爛,16,negative,zg
犧牲,16,positive,v
驚喜,16,positive,a
不可,15,negative,v
用心,15,positive,n
吃不下,15,negative,l
自卑,15,positive,n
自卑,15,negative,n
自責,15,negative,v
伴侶,15,positive,n
批評,15,negative,v
承擔,15,positive,v
長輩,15,positive,n
保證,15,positive,v
狠狠,15,positive,d
狠狠,15,negative,d
殘忍,15,negative,a
訴苦,15,negative,v
嫌棄,15,negative,v
煩,15,negative,zg
補充,15,positive,v
誇張,15,negative,v
厭惡,15,negative,v
漂亮,15,positive,a
價值,15,positive,n
摩擦,15,negative,vn
方便,14,positive,a
正確,14,positive,ad
白,14,positive,a
白,14,negative,a
矛盾,14,negative,an
全心全意,14,positive,i
私下,14,negative,n
幸運,14,positive,a
哭泣,14,negative,v
耽誤,14,negative,v
乾脆,14,positive,nz
做錯,14,negative,x
堅決,14,positive,ad
無心,14,negative,v
無所謂,14,negative,l
慶幸,14,positive,v
親愛,14,positive,a
諷刺,14,negative,v
懷念,14,positive,v
難以,14,negative,d
變好,14,positive,v
一再,13,negative,d
不足,13,negative,a
不長,13,negative,v
仔細,13,positive,ad
失落,13,negative,v
打扮,13,positive,v
打擊,13,positive,v
打擊,13,negative,v
好吃,13,positive,v
自覺,13,positive,d
吵到,13,negative,v
足夠,13,positive,v
青春,13,positive,ns
前進,13,positive,v
拼命,13,negative,v
健康,13,positive,a
無情,13,negative,n
給予,13,positive,v
感激,13,positive,v
極度,13,negative,d
當面,13,positive,f
義務,13,positive,n
